flops_budget,depth,model_dim,num_params,lr,val_loss
1e16,128,128,56435744,0.03125,6.600769519805908
1e16,128,128,56435744,0.044194174,N/A
1e16,128,128,56435744,0.0625,N/A
1e16,128,128,56435744,0.088388348,7.251750946044922
1e16,128,128,56435744,0.125,N/A
1e16,256,256,132200352,0.03125,6.605449676513672
1e16,256,256,132200352,0.044194174,N/A
1e16,256,256,132200352,0.0625,N/A
1e16,256,256,132200352,0.088388348,N/A
1e16,256,256,132200352,0.125,7.331956386566162
1e16,512,512,361586336,0.03125,N/A
1e16,512,512,361586336,0.044194174,N/A
1e16,512,512,361586336,0.0625,6.823478698730469
1e16,512,512,361586336,0.088388348,7.018466472625732
1e16,512,512,361586336,0.125,7.169349193572998
